Profile,PWV(mm),Cos,Airmass,Rad4
1,4,-1,1,0.4286295152
1,4,-0.975,1.02564102564103,0.4380180326
1,4,-0.95,1.05263157894737,0.4478457267
1,4,-0.925,1.08108108108108,0.4581448156
1,4,-0.9,1.11111111111111,0.4689508351
1,4,-0.875,1.14285714285714,0.4803029879
1,4,-0.85,1.17647058823529,0.492244726
1,4,-0.825,1.21212121212121,0.5048242165
1,4,-0.8,1.25,0.5180952139
1,4,-0.775,1.29032258064516,0.5321176723
1,4,-0.75,1.33333333333333,0.5469588214
1,4,-0.725,1.37931034482759,0.5626942148
1,4,-0.7,1.42857142857143,0.5794094177
1,4,-0.675,1.48148148148148,0.5972009967
1,4,-0.65,1.53846153846154,0.6161791971
1,4,-0.625,1.6,0.6364700384
1,4,-0.6,1.66666666666667,0.6582183414
1,4,-0.575,1.73913043478261,0.6815915112
1,4,-0.55,1.81818181818182,0.7067840779
1,4,-0.525,1.9047619047619,0.734023808
1,4,-0.5,2,0.7635786897
1,4.1,-1,1,0.4390611721
1,4.1,-0.975,1.02564102564103,0.448671577
1,4.1,-0.95,1.05263157894737,0.4587313742
1,4.1,-0.925,1.08108108108108,0.4692734219
1,4.1,-0.9,1.11111111111111,0.480334129
1,4.1,-0.875,1.14285714285714,0.4919535131
1,4.1,-0.85,1.17647058823529,0.5041760742
1,4.1,-0.825,1.21212121212121,0.5170510849
1,4.1,-0.8,1.25,0.5306333769
1,4.1,-0.775,1.29032258064516,0.5449844175
1,4.1,-0.75,1.33333333333333,0.5601727753
1,4.1,-0.725,1.37931034482759,0.5762758083
1,4.1,-0.7,1.42857142857143,0.5933808861
1,4.1,-0.675,1.48148148148148,0.6115867873
1,4.1,-0.65,1.53846153846154,0.6310062599
1,4.1,-0.625,1.6,0.6517680013
1,4.1,-0.6,1.66666666666667,0.6740201497
1,4.1,-0.575,1.73913043478261,0.6979338359
1,4.1,-0.55,1.81818181818182,0.7237077807
1,4.1,-0.525,1.9047619047619,0.751574873
1,4.1,-0.5,2,0.7818090962
1,4.2,-1,1,0.4496160836
1,4.2,-0.975,1.02564102564103,0.4594509664
1,4.2,-0.95,1.05263157894737,0.4697454569
1,4.2,-0.925,1.08108108108108,0.4805332865
1,4.2,-0.9,1.11111111111111,0.4918515333
1,4.2,-0.875,1.14285714285714,0.5037412629
1,4.2,-0.85,1.17647058823529,0.5162478192
1,4.2,-0.825,1.21212121212121,0.5294216098
